"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
971,"Alberto MICHELINI","Alberto","MICHELINI","https://www.europarl.europa.eu/mepphoto/971.jpg",FALSE,"1941-07-25T00:00:00","Roma","2-3","1984-07-24T00:00:00","1994-07-18T00:00:00","Law graduate. Journalist on RAI-TV (Italian state radio and television service) and former newsreader on the national programme TG1. Began his career as a television journalist 1968; appointed newsreader 1970. As a correspondent in Italy and abroad he has covered the most important events in recent years, from the civil wars in Northern Ireland and Lebanon to the Soviet invasion of Afghanistan and the American intervention in Grenada."
4349,"Rosa MIGUÉLEZ RAMOS","Rosa","MIGUÉLEZ RAMOS","https://www.europarl.europa.eu/mepphoto/4349.jpg",FALSE,"1953-08-27T00:00:00","Ferrol","5-6","1999-07-20T00:00:00","2009-07-13T00:00:00","Graduate in romance languages."
1261,"Karl-Heinrich MIHR","Karl-Heinrich","MIHR","https://www.europarl.europa.eu/mepphoto/1261.jpg",FALSE,"1935-07-22T00:00:00","Gudensberg (Hessen)","1-2-3","1980-01-16T00:00:00","1994-07-18T00:00:00","Served apprenticeship as skilled worker."
36696,"Dan MIHALACHE","Dan","MIHALACHE","https://www.europarl.europa.eu/mepphoto/36696.jpg",FALSE,"1971-05-18T00:00:00","Timişoara","6-6","2006-07-13T00:00:00","2007-12-09T00:00:00","'Nikolaus Lenau' secondary school (specialisation in mathematics and physics) (Timişoara, 1976-1989). Bachelor of Law, Faculty of Law, University of Bucharest (1990-1994). National Defence College (1998)."
28421,"Marianne MIKKO","Marianne","MIKKO","https://www.europarl.europa.eu/mepphoto/28421.jpg",FALSE,"1961-09-26T00:00:00","Võru","6","2004-07-20T00:00:00","2009-07-13T00:00:00","Graduated in journalism at Tartu State University (1984). Editor (1984-1992 and 1993-1994); freelance journalist (Republic of South Africa, 1992-1993); special correspondent (1994-2004), including in Brussels (1994-2000); presenter (2000-2004), including for 'Välismääraja' programme on foreign policy; editor in chief of 'Diplomaatia', monthly specialising in foreign and security policy (2003-2004)."
2135,"Bill MILLER","Bill","MILLER","https://www.europarl.europa.eu/mepphoto/2135.jpg",FALSE,"1954-07-22T00:00:00","Gartocharn (Scotland)","4-5","1994-07-19T00:00:00","2004-07-19T00:00:00","B.Sc. (Land Economics) (1976). Diploma in Town Planning (1978). RICS (1980). Local government surveyor (1978-1994)."
34000,"Eugen MIHĂESCU","Eugen","MIHĂESCU","https://www.europarl.europa.eu/mepphoto/34000.jpg",FALSE,"1937-08-24T00:00:00","Bucureşti","6-6","2005-09-26T00:00:00","2007-12-09T00:00:00","Nicolae Grigorescu Institute of Fine Arts, Bucharest (1954-1960)."
768,"Johan van MINNEN","Johan","van MINNEN","https://www.europarl.europa.eu/mepphoto/768.jpg",FALSE,"1932-10-31T00:00:00","Noordwolde","1","1979-07-17T00:00:00","1984-07-23T00:00:00",NA
1307,"Ana MIRANDA DE LAGE","Ana","MIRANDA DE LAGE","https://www.europarl.europa.eu/mepphoto/1307.jpg",FALSE,"1946-05-07T00:00:00","San Sebastián","2-2-3-4-5","1986-01-01T00:00:00","2004-07-19T00:00:00","PSE-PSOE spokeswoman (1979-1990). Communications Secretary of the PSOE (1988-1990)."
38607,"Nickolay MLADENOV","Nickolay","MLADENOV","https://www.europarl.europa.eu/mepphoto/38607.jpg",FALSE,"1972-05-05T00:00:00","Sofia","6","2007-06-06T00:00:00","2009-07-13T00:00:00","Educated at King's College London (MA War Studies) and the University of National and World Economy in Sofia (BA & MA International Relations)."
4301,"Hans MODROW","Hans","MODROW","https://www.europarl.europa.eu/mepphoto/4301.jpg",FALSE,"1928-01-27T00:00:00","Jasenitz (Polen)","5","1999-07-20T00:00:00","2004-07-19T00:00:00","Apprentice's certificate (1944). Graduate in social sciences (1957). Graduate in economics (1959). Dr. rer. oec. (1966)."
1584,"Poul MØLLER","Poul","MØLLER","https://www.europarl.europa.eu/mepphoto/1584.jpg",FALSE,"1919-10-13T00:00:00","Frederiksberg","1-2","1979-07-17T00:00:00","1986-10-12T00:00:00","Graduated in Law in 1947; qualified as a High Court lawyer 1952. Secretary in the Public Trustee's Office 1939-1948 and in the Housing Department 1948-1952. Political, industrial and financial editor of 'Dagens Nyheder' newspaper 1953-1958; then on the staff of 'Berlingske Tidende' newspaper until 1968 and again from 1971-1979; contributor to 'Jyllands Posten' newspaper 1979-1984."
2279,"Abdelkader MOHAMED ALI","Abdelkader","MOHAMED ALI","https://www.europarl.europa.eu/mepphoto/2279.jpg",FALSE,"1959-10-28T00:00:00","Melilla","4","1996-03-28T00:00:00","1999-07-19T00:00:00","Studied law. Small businessman."
30099,"Viktória MOHÁCSI","Viktória","MOHÁCSI","https://www.europarl.europa.eu/mepphoto/30099.jpg",FALSE,"1975-04-01T00:00:00","Berettyóújfalu","6","2004-11-29T00:00:00","2009-07-13T00:00:00","Arany János Gimnázium, Berettyóújfalu (1989-1993). Philosophy Faculty, Szeged University, Communication Department, Budapest (1997-2002)."
37450,"Viorica-Pompilia-Georgeta MOISUC","Viorica-Pompilia-Georgeta","MOISUC","https://www.europarl.europa.eu/mepphoto/37450.jpg",FALSE,"1934-04-08T00:00:00","Bucureşti","6","2007-01-01T00:00:00","2007-12-09T00:00:00","Graduate in History, Faculty of History, University of Bucharest (1956). Doctorate in History, Faculty of History, University of Bucharest (1966). Academia Româna prize for doctoral thesis on 'Romanian diplomacy and the defence of Romania's independence' - Ed. Academiei, Bucharest, 1971 (1972). Certificate of Excellence from Vasile Goldiş University for research activities (Arad, 2005)."
2226,"Peter Michael MOMBAUR","Peter Michael","MOMBAUR","https://www.europarl.europa.eu/mepphoto/2226.jpg",FALSE,"1938-12-12T00:00:00","Solingen","4-5","1994-07-19T00:00:00","2004-07-19T00:00:00","Lawyer; Dr. jur.; deputy member of the North Rhine-Westphalia Land Constitutional Court (1988-2000). Executive member of the bureau of the Association of German Towns and Municipalities and of the Council of European Municipalities and Regions, German Section; member of the public authorities' financial planning and economic policy committees; member of the boards of the German Savings Banks and Giro Association and the Insurance Association for Municipalities and Local Authority Associations (1978-1994). Adviser to democratic governments in Poland, Hungary and the GDR (1989-1990)."
2273,"Philippe J.F. MONFILS","Philippe J.F.","MONFILS","https://www.europarl.europa.eu/mepphoto/2273.jpg",FALSE,"1939-01-04T00:00:00","Liège","4","1995-10-25T00:00:00","1999-07-19T00:00:00","Doctor of Law (University of Liège, 1962). Assistant lecturer in administrative law (University of Liège, 1962-1968). Attaché and subsequently adviser in the office of the Minister for French Culture (1968-1972). Head of the office of the Minister for Institutional Reform (1974-1976). Deputy head of the office of the State Secretary for the Walloon Regional Economy (1976-1977). Legal adviser at the media centre of the Belgian French-speaking community (1977-1980). Head of the office of the StateSecretary for the French Community (1980)."
1608,"Andoni MONFORTE ARREGUI","Andoni","MONFORTE ARREGUI","https://www.europarl.europa.eu/mepphoto/1608.jpg",FALSE,"1946-06-12T00:00:00","Mallabia (Vizcaya)","2","1986-01-01T00:00:00","1987-07-05T00:00:00","Graduate in law. Personnel director of the Mondragon cooperatives, Guipuzcoa."
2164,"Fernando MONIZ","Fernando","MONIZ","https://www.europarl.europa.eu/mepphoto/2164.jpg",FALSE,"1953-07-29T00:00:00","V.N. Famalicão","4","1994-07-19T00:00:00","1999-07-19T00:00:00","Company manager. Solicitor."
